,wti_ret,dxy_ret,gold_ret,spy_ret,vix_ret,hy_oas_chg,dgs10_chg,sofr_chg,curve_2s10s_chg,breakeven_10y_chg
wti_ret,1.0,-0.213,0.254,0.036,0.032,-0.148,0.16,-0.052,0.152,0.318
dxy_ret,-0.213,1.0,-0.467,-0.055,-0.026,-0.057,0.085,0.107,-0.272,0.036
gold_ret,0.254,-0.467,1.0,0.096,-0.036,-0.139,0.054,-0.195,-0.023,0.122
spy_ret,0.036,-0.055,0.096,1.0,-0.831,-0.71,0.078,-0.13,-0.212,0.306
vix_ret,0.032,-0.026,-0.036,-0.831,1.0,0.649,-0.11,0.149,0.165,-0.208
hy_oas_chg,-0.148,-0.057,-0.139,-0.71,0.649,1.0,-0.45,0.038,0.172,-0.503
dgs10_chg,0.16,0.085,0.054,0.078,-0.11,-0.45,1.0,0.049,0.385,0.608
sofr_chg,-0.052,0.107,-0.195,-0.13,0.149,0.038,0.049,1.0,-0.058,-0.06
curve_2s10s_chg,0.152,-0.272,-0.023,-0.212,0.165,0.172,0.385,-0.058,1.0,0.163
breakeven_10y_chg,0.318,0.036,0.122,0.306,-0.208,-0.503,0.608,-0.06,0.163,1.0
